job_company,job_education,job_industry,job_listed,job_location,job_name       ,job_persons,job_salary,job_time ,job_year
宇信科技       ,本科           ,互联网金融       ,不需要融资     ,北京 朝阳区 朝外   ,Java           ,1000-9999人 ,11k-17k   ,发布于02月13日,5-10年
北京瑞友科技     ,本科           ,计算机软件       ,不需要融资     ,北京 海淀区 西北旺  ,Java           ,1000-9999人 ,10k-18k   ,发布于02月15日,3-5年
亚信科技       ,本科           ,计算机软件       ,未融资       ,北京 东城区 工体   ,Java           ,1000-9999人 ,11k-20k   ,发布于02月18日,1-3年
龙瑞森        ,本科           ,石油/石化       ,不需要融资     ,北京 昌平区 昌平   ,Java           ,100-499人   ,5k-10k    ,发布于02月21日,5-10年
汉得信息       ,本科           ,计算机软件       ,已上市       ,北京 海淀区 西北旺  ,java中级         ,10000人以上   ,10k-15k   ,发布于02月18日,3-5年
柯莱特集团      ,本科           ,计算机软件       ,已上市       ,北京 海淀区 牡丹园  ,Java高级开发leader ,1000-9999人 ,17k-30k   ,发布于02月15日,5-10年
瓜子二手车直卖网   ,本科           ,分类信息        ,C轮        ,北京 朝阳区 酒仙桥  ,Java           ,10000人以上   ,20k-40k   ,发布于09:47 ,5-10年
京东数字科技     ,本科           ,互联网         ,不需要融资     ,北京          ,java           ,1000-9999人 ,20k-25k   ,发布于02月20日,5-10年
恒昌         ,本科           ,互联网金融       ,不需要融资     ,北京 海淀区 西北旺  ,Java工程师        ,10000人以上   ,15k-30k   ,发布于02月26日,3-5年
腾信软创       ,本科           ,互联网         ,已上市       ,北京 东城区 东直门  ,java           ,1000-9999人 ,11k-20k   ,发布于14:29 ,3-5年
雷铭科技       ,本科           ,计算机软件       ,不需要融资     ,北京 朝阳区 大望路  ,Java高级工程师      ,100-499人   ,17k-30k   ,发布于02月25日,5-10年
中科软        ,本科           ,计算机软件       ,已上市       ,北京 昌平区 沙河   ,java工程师        ,10000人以上   ,8k-13k    ,发布于02月21日,1-3年
赤骥商贸有限公司   ,本科           ,贸易/进出口      ,未融资       ,北京 朝阳区 朝外   ,Java           ,100-499人   ,10k-13k   ,发布于11:26 ,3-5年
青蓝致远科技     ,大专           ,互联网         ,未融资       ,北京 海淀区 上地   ,Java           ,100-499人   ,12k-13k   ,发布于昨天    ,3-5年
纬创         ,本科           ,计算机软件       ,已上市       ,北京 昌平区 沙河   ,java           ,10000人以上   ,13k-19k   ,发布于02月25日,3-5年
北京瑞友科技     ,本科           ,互联网         ,不需要融资     ,北京 朝阳区 亚运村  ,Java           ,1000-9999人 ,10k-17k   ,发布于昨天    ,3-5年
微博         ,本科           ,互联网         ,已上市       ,北京 海淀区 上地   ,Java架构师        ,1000-9999人 ,30k-60k   ,发布于02月19日,5-10年
宝利软件       ,本科           ,计算机软件       ,已上市       ,北京 西城区 月坛   ,Java           ,500-999人   ,11k-20k   ,发布于02月25日,3-5年
汇启软件       ,大专           ,计算机软件       ,          ,北京 海淀区 西三旗  ,java           ,100-499人   ,10k-15k   ,发布于昨天    ,3-5年
引行金融信息服务...,本科           ,互联网金融       ,未融资       ,北京 朝阳区 十八里店 ,Java           ,500-999人   ,10k-15k   ,发布于昨天    ,3-5年
易诚互动       ,本科           ,互联网         ,不需要融资     ,北京 海淀区 学院路  ,Java(世宁大厦)     ,1000-9999人 ,12k-20k   ,发布于02月22日,5-10年
联想利泰       ,本科           ,移动互联网       ,已上市       ,北京 西城区 金融街  ,java培训生        ,1000-9999人 ,4k-8k     ,发布于昨天    ,经验不限
跟谁学        ,本科           ,互联网         ,A轮        ,北京 海淀区 上地   ,Java开发工程师      ,1000-9999人 ,15k-25k   ,发布于02月25日,3-5年
极晨智道       ,大专           ,计算机软件       ,不需要融资     ,北京 海淀区 人民大学 ,Java           ,100-499人   ,10k-15k   ,发布于02月14日,3-5年
北京走出趣科技    ,大专           ,互联网         ,A轮        ,北京 海淀区 中关村  ,Java           ,100-499人   ,15k-25k   ,发布于昨天    ,3-5年
新东方教育      ,本科           ,在线教育        ,已上市       ,北京 海淀区 中关村  ,Java工程师        ,1000-9999人 ,15k-20k   ,发布于02月26日,3-5年
阳光汇点       ,大专           ,计算机软件       ,未融资       ,北京          ,Java           ,100-499人   ,15k-26k   ,发布于02月25日,3-5年
科蓝软件       ,本科           ,计算机软件       ,已上市       ,北京 东城区 安定门  ,Java-安定门       ,1000-9999人 ,10k-15k   ,发布于02月20日,1-3年
北京信赛瑞德     ,本科           ,电子商务        ,未融资       ,北京 朝阳区 望京   ,Java           ,500-999人   ,30k-60k   ,发布于02月19日,5-10年
腾信软创       ,本科           ,互联网         ,已上市       ,北京 海淀区 二里庄  ,Java工程师        ,1000-9999人 ,13k-18k   ,发布于10:46 ,3-5年
艾融软件       ,本科           ,互联网         ,已上市       ,北京 海淀区 西三旗  ,Java软件工程师      ,500-999人   ,10k-15k   ,发布于02月25日,1-3年
茂逊         ,本科           ,电子商务        ,C轮        ,北京 朝阳区 望京   ,java           ,500-999人   ,20k-40k   ,发布于02月25日,5-10年
狮桥资本       ,本科           ,互联网金融       ,不需要融资     ,北京 朝阳区 望京   ,JAVA工程师        ,1000-9999人 ,12k-20k   ,发布于昨天    ,3-5年
神州信息       ,本科           ,计算机软件       ,已上市       ,北京 海淀区 马连洼  ,高级java-财务公司    ,1000-9999人 ,13k-18k   ,发布于昨天    ,3-5年
科蓝软件       ,本科           ,计算机软件       ,已上市       ,北京 朝阳区 朝外   ,JAVA-朝阳门       ,1000-9999人 ,8k-15k    ,发布于02月25日,3-5年
金证股份       ,本科           ,计算机软件       ,已上市       ,北京 海淀区 中关村  ,java工程师        ,1000-9999人 ,13k-14k   ,发布于02月22日,3-5年
宇信科技       ,本科           ,计算机软件       ,已上市       ,北京 海淀区 上地   ,JAVA（永丰，西二旗）   ,1000-9999人 ,10k-15k   ,发布于昨天    ,1-3年
寓客         ,本科           ,地产经纪/中介     ,未融资       ,北京 朝阳区 安贞   ,高级java工程师      ,1000-9999人 ,20k-25k   ,发布于02月26日,3-5年
有家美宿       ,本科           ,互联网         ,A轮        ,北京 海淀区 西二旗  ,JAVA           ,100-499人   ,15k-20k   ,发布于02月19日,3-5年
北大青鸟       ,本科           ,在线教育        ,不需要融资     ,北京 海淀区 北京大学 ,Java工程师        ,1000-9999人 ,20k-25k   ,发布于02月25日,3-5年
